ID,MFG ID,Title,Current Model,Plow Type,Blade Width Expanded,Blade Width Retracted,Blade Width Scoop,Angled Width Expanded,Angled Width Retracted,Angled Width Scoop,Blade Height Min,Blade Height Max,Blade Gauge,Blade Thickness,Weight,Blade Material,Plowshoes,Blade Cutting Edge Thickness,Blade Cutting Edge Height,Wing Cutting Edge Thickness,Wing Cutting Edge Height,Vertical Ribs,Diagonal Ribs,Trip Feature,Trip Springs,Trip Spring Type,Angle Cylinder Diameter,Angle Cylinder Length,Angle Cylinder Type,Lift Cylinder Diameter,Lift Cylinder Length,Lift Cylinder Type,Controls Style,Controls Type,Mount,Snow Deflector,Snow Catcher,Warranty,Notes,Image,Down Pressure,Paint,Primer,Closed Loop Electric,Led Lights,Price,Moving Capacity,SPN Rank,Youtube Video ID,PDF
154,23,VMD75,FALSE,vplow,90,0,0,78,0,78,26,33,14,0.075,700,stainless,optional,0.375,6,,0,6,0,trip edge,4,extension,1.5,12,,1.5,6,,keypad,wired,QuickMount,standard,,2 years,,,No,Powder Coat,Yes,,No,3,5,60,Z605bSHdWHU,https://www.buyersproducts.com/UserFiles/Print-Catalogs/LITPLOW_D_lr.pdf
155,23,HD75,FALSE,straight,90,0,0,78,0,0,29,29,12,0.105,680,stainless,included,0.375,6,,0,9,0,full blade,4,extension,1.5,12,single acting,2,6,single acting,keypad,wired,QuickMount,standard,,2 years,,HD-EX_45.jpg,No,Powder Coat,Yes,,No,2,2,51,U7inSsluGkQ,https://www.buyersproducts.com/UserFiles/Print-Catalogs/LITPLOW_D_lr.pdf
156,23,EX75,FALSE,straight,90,0,0,78,0,0,31,31,12,0.105,745,stainless,included,0.500,6,,0,9,0,full blade,4,extension,1.5,12,single acting,2,6,single acting,keypad,wired,QuickMount,standard,,2 years,,HD-EX_45.jpg,No,Powder Coat,Yes,,No,2,3,53,Z605bSHdWHU,https://www.buyersproducts.com/UserFiles/Print-Catalogs/LITPLOW_D_lr.pdf
157,23,EX80,FALSE,straight,96,0,0,88.3,0,0,31,31,12,0.105,765,stainless,included,0.500,6,,0,9,0,full blade,4,extension,1.5,12,single acting,2,6,single acting,keypad,wired,QuickMount,standard,,2 years,,HD-EX_45.jpg,No,Powder Coat,Yes,,No,2,3,53,Z605bSHdWHU,https://www.buyersproducts.com/UserFiles/Print-Catalogs/LITPLOW_D_lr.pdf
159,23,EX90,FALSE,straight,108,0,0,93.5,0,0,31,31,12,0.105,805,stainless,included,0.500,6,,0,9,0,full blade,4,extension,1.5,12,single acting,2,6,single acting,keypad,wired,QuickMount,standard,,2 years,,HD-EX_45.jpg,No,Powder Coat,Yes,,No,2,3,53,Z605bSHdWHU,https://www.buyersproducts.com/UserFiles/Print-Catalogs/LITPLOW_D_lr.pdf
160,23,TE75 II,TRUE,straight,90,0,0,78,0,0,31,31,12,0.105,705,stainless,included,0.375,6,,0,8,0,trip edge,4,extension,1.5,12,single acting,2,6,single acting,keypad,wired,QuickMount II+,standard,,2 years,,TEII_45_a.jpg,No,Powder Coat,Yes,,No,2,3,53,Z605bSHdWHU,https://www.buyersproducts.com/UserFiles/Print-Catalogs/LITPLOW_D_lr.pdf
161,23,TE80 II,TRUE,straight,96,0,0,83,0,0,31,31,12,0.105,772,stainless,included,0.500,6,,0,8,0,trip edge,4,extension,1.5,12,single acting,2,6,single acting,keypad,wired,QuickMount II+,standard,,2 years,,TEII_45_a.jpg,No,Powder Coat,Yes,,No,2,3,53,Z605bSHdWHU,https://www.buyersproducts.com/UserFiles/Print-Catalogs/LITPLOW_D_lr.pdf
162,23,VXF85,FALSE,vplow,102,0,88,88,0,88,29,37,12,0.105,948,stainless,optional,0.500,6,,0,8,0,trip edge,4,extension,1.5,12,double acting,2,6,single acting,keypad,wired,QuickMount,standard,,2 years,,VXF85_45.jpg,No,Powder Coat,Yes,,No,3,5,64,Z605bSHdWHU,https://www.buyersproducts.com/UserFiles/Print-Catalogs/LITPLOW_D_lr.pdf
163,23,VXF95,FALSE,vplow,114,0,99,99,0,99,29,37,12,0.105,983,stainless,optional,0.500,6,,0,8,0,trip edge,4,extension,1.5,12,double acting,2,6,single acting,keypad,wired,QuickMount,standard,,2 years,,VXF85_45.jpg,No,Powder Coat,Yes,,No,3,5,64,Z605bSHdWHU,https://www.buyersproducts.com/UserFiles/Print-Catalogs/LITPLOW_D_lr.pdf
164,23,XP810,TRUE,expandable,120,96,0,104,87,0,29,29,12,0.105,1021,stainless,included,0.500,6, 1/2,6,9,0,full blade,4,extension,1.5,12,single acting,2,6,single acting,keypad,wired,QuickMount,standard,,2 years,,XP810_45.jpg,No,Powder Coat,Yes,,No,4,5,66,Z605bSHdWHU,https://www.buyersproducts.com/UserFiles/Print-Catalogs/LITPLOW_D_lr.pdf
